question,answer,category,difficulty
"What is Matthew Schabath's expertise in quantitative imaging?","Matthew Schabath is a co-developer of radiomics/quantitative imaging approaches using artificial intelligence to analyze medical images for biomarker development across the cancer care continuum, including risk prediction, early detection, and patient outcomes.",research_interests,hard
"Which researchers collaborate on evolutionary cancer research?","Alexander Anderson and Joel Brown collaborate on evolutionary cancer research, applying ecological and evolutionary principles to understanding and treating cancer.",cross_cutting,hard
"What is the focus of Anna Giuliano's ORAL-H study?","The ORAL-H study (Oral HPV Research Among Latin Americans Living with HIV) investigates oral HPV infections and vaccine efficacy in preventing oropharyngeal cancer among people living with HIV.",grants,hard
"Who is associated with the Melanoma & Skin Cancer Center of Excellence?","Researchers associated with the Melanoma & Skin Cancer Center of Excellence include Keiran Smalley, Alexander Anderson, Joel Brown, and Eric Haura.",associations,medium
"What methodologies does Alexander Anderson use in his research?","Alexander Anderson uses mathematical modeling techniques including Hybrid-Discrete Continuum (HDC) models, individual-based models, and continuum approaches to capture cancer complexity at multiple scales.",research_interests,medium
"Which researchers have grants from the Florida Department of Health?","Researchers with Florida Department of Health grants include Alexander Anderson, Anna Giuliano (though primarily NCI), Eric Haura, Matthew Schabath, and Keiran Smalley.",grants,hard
"What is Eric Haura's clinical interest?","Eric Haura's clinical interests include lung cancer, particularly non-small cell lung cancer, novel signal transduction inhibitors, and special interest in management of lifelong non-smokers with lung cancer.",research_interests,medium
"Who studies HPV-related cancers?","Anna Giuliano studies HPV-related cancers extensively, focusing on cervical, penile, anal, and oropharyngeal cancers in both men and women.",cancer_type,easy
"What is Joel Brown's approach to cancer research?","Joel Brown applies ecological and evolutionary principles to understand cancer, viewing tumors through ecosystem dynamics and adaptations. He works on adaptive therapy strategies for metastatic cancers.",research_interests,medium
"Which researchers work on immunotherapy?","Researchers working on immunotherapy include Keiran Smalley (immune checkpoint inhibitors, CAR-T therapies), Ahmad Tarhini (melanoma immunotherapy), and Anna Giuliano (therapeutic vaccines for HPV).",research_interests,hard
"What is the Center for Immunization & Infection Research in Cancer?","The Center for Immunization & Infection Research in Cancer (CIIRC) is founded and directed by Anna Giuliano, focusing on infection-related cancers, particularly HPV-associated malignancies.",associations,medium
"Who has published in Nature Medicine?","Alexander Anderson published in Nature Medicine on oncolytic immunotherapy with nivolumab in bladder cancer. Eric Haura also has publications in Nature Medicine on neoadjuvant atezolizumab for NSCLC.",publications,hard
"What is Matthew Schabath's work on LGBTQ health equity?","Matthew Schabath leads research on cancer care disparities among LGBTQ/SGM populations. He co-developed the COLORS curriculum for oncologists and led implementation of SOGI data collection at Moffitt, which has been disclosed by over 150,000 patients.",research_interests,hard
"Which researchers focus on prostate cancer?","Joel Brown and Alexander Anderson collaborate on prostate cancer research, particularly on adaptive therapy for metastatic castrate-resistant prostate cancer.",cancer_type,medium
"What grants does Keiran Smalley have on melanoma?","Keiran Smalley has multiple grants on melanoma including NCI R01 grants on epigenetic plasticity-driven drug resistance, uveal melanoma liver metastasis, and PROTAC development, plus grants from the Melanoma Research Alliance.",grants,hard
"Who trained at Duke University?","Eric Haura completed his medical training at Duke University School of Medicine and his fellowship at Duke University Medical Center.",education,medium
"What is the focus of the Cancer Biology & Evolution Program?","The Cancer Biology & Evolution Program, which includes Alexander Anderson and Joel Brown, focuses on applying evolutionary and ecological principles to understand cancer progression and develop adaptive therapy strategies.",associations,hard
"Which researchers work on KRAS mutations?","Eric Haura works on KRAS mutations in lung cancer, developing strategies to overcome resistance to KRAS inhibitors. Keiran Smalley works on NRAS-mutant melanoma with pan-RAS inhibitors.",research_interests,hard
"What is Anna Giuliano's contribution to HPV vaccine research?","Anna Giuliano's work has significantly contributed to understanding HPV infection acquisition, clearance, and progression rates, as well as HPV vaccine protection against multiple diseases in both women and men. She leads international clinical trials testing vaccine efficacy.",research_interests,hard
"Who collaborates with Robert Gatenby?","Alexander Anderson and Joel Brown both collaborate with Robert Gatenby on evolutionary and ecological approaches to cancer treatment.",cross_cutting,medium
"What is the Moffitt Lung Cancer Center of Excellence?","The Lung Cancer Center of Excellence at Moffitt includes researchers like Eric Haura and Matthew Schabath who conduct comprehensive lung cancer research from basic science to clinical trials.",associations,medium
"Which researchers use single-cell RNA sequencing?","Keiran Smalley utilizes single-cell RNA-Seq (scRNA-Seq) to investigate melanoma subtypes, immune environments, and metastatic mechanisms.",research_interests,medium
"What is Matthew Schabath's h-index?","Matthew Schabath has an h-index of 67 with over 22,000 citations and has published over 230 peer-reviewed papers.",publications,easy
"Who works on brain metastases?","Keiran Smalley works on melanoma brain metastases, developing novel immune checkpoint inhibitor combinations and characterizing the immune-tumor interactions in brain metastases.",cancer_type,medium
"What American Cancer Society grants are at Moffitt?","Matthew Schabath has American Cancer Society grants on pre- and post-diagnosis metformin use in ovarian cancer survival and landscape of lung cancer survivorship. Anna Giuliano has ACS funding for prevention of infection-related cancers.",grants,hard
"Which researchers focus on tumor microenvironment?","Keiran Smalley (department: Tumor Microenvironment and Metastasis) focuses on host-tumor interactions, immune environment, and epigenetic modifications in melanoma.",research_interests,medium
"What is Joel Brown's work on adaptive therapy?","Joel Brown is part of a team examining the efficacy of adaptive therapy for late-stage metastatic castrate-resistant prostate cancer, including Phase I and Phase II clinical trials.",research_interests,hard
"Who has grants from the Department of Defense?","Joel Brown has Department of Defense grants on the polyaneuploid cancer cell state and multitherapy resistance in cancer.",grants,medium
"What is Eric Haura's work on dasatinib?","Eric Haura's group used chemical proteomics and immunoaffinity purification to identify nearly 40 different kinase targets of dasatinib in lung cancer cells, providing a system-level view of drug action.",research_interests,hard
"Which researchers are Principal Investigators on multiple NCI grants?","Researchers serving as PI on multiple NCI grants include Alexander Anderson, Anna Giuliano, Matthew Schabath, Keiran Smalley, and Eric Haura.",grants,hard
"What is the focus of the Molecular Medicine Program?","The Molecular Medicine Program includes researchers like Eric Haura (thoracic oncology), Keiran Smalley (melanoma), and Alberto Chiappori, focusing on molecular-targeted therapies and biomarker development.",associations,hard
"Who works on cancer prevention and screening?","Anna Giuliano works extensively on cancer prevention through HPV vaccination and screening. Matthew Schabath works on lung cancer screening and early detection using radiomics.",research_interests,medium
"What collaborative grants involve multiple Moffitt researchers?","The pediatric Evolutionary Tumor Board grant (pedsETB) involves Alexander Anderson, Joel Brown, and Andriy Marusyk. The Delta Ecology of NSCLC Treatment grant involves Alexander Anderson and Robert Gatenby.",grants,hard
"Which researchers published in 2025?","Multiple researchers published in 2025 including Alexander Anderson (adaptive therapy, evolutionary double-bind), Anna Giuliano (HPV studies), Matthew Schabath (radiomics), Eric Haura (KRAS inhibitors), and Keiran Smalley (NR4A1, uveal melanoma).",publications,hard
"What is Keiran Smalley's work on PROTAC technology?","Keiran Smalley is developing PROTAC (PROteolysis TArgeting Chimera) technology to create novel inhibitors aimed at modulating immune responses, including targeting NR4A1 for cancer immunotherapy.",research_interests,hard
"Who studies cancer health disparities?","Matthew Schabath conducts extensive research on cancer health disparities, particularly among LGBTQ/SGM populations, including provider education, SOGI data collection, and implementation science.",research_interests,medium
"What international collaborations does Anna Giuliano have?","Anna Giuliano leads international studies in Brazil, Mexico, and Puerto Rico for HPV-associated cancer prevention in people living with HIV, as well as the BROADEN Africa Study on HPV-related head and neck cancers.",cross_cutting,hard
